content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
CropGenomeDefinitionSO,content-type,,type-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/CropDefinitionSO.cs
CropGenomeDefinitionSO,content-type,,type-reference; save-restore-reference,services:economy,runtime,structural-type-consumer,Assets/Scripts/Services/Economy/CropEcologyRuntime.cs
CropGenomeDefinitionSO,content-type,,type-reference; save-restore-reference,services:economy,runtime,structural-type-consumer,Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs
