schemaVersion,seedIndex,deterministicSeed,definitionId,workstationTag,recipeId,outputLineId,itemId,outputQuantity,batchMassGrams,topologySourceDigest,topologyStable,facilityAttributionExact,ownerRosterKey,observationId,batchCommitId,actionEpochDelta,actionStartDelta,haulStartDelta,clearanceMicroHours,clearanceMilliHours,telemetryCompletedCount,telemetryActiveCount,orphanPickupCount,conflictingPublicationCount,overPickupCount,capacityExceededCount,restoreInterruptionCount,telemetryClean,schedulerProvenanceExact,deliveryExact,randomStateDigest,randomDrawDelta,runSourceDigest,result
v27-production-output-clearance-natural-seed@2,10,157191,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157191,production-output-batch:production-bill:1:00000001:57930db99aca1b7a204fc4807cafecbde9eb8a3a940d3e3c3fb9ab721857d5cf,1,1,1,1748883,1749,1,0,0,0,0,0,0,true,true,true,717efdbd07a2ca23c10ed79dca60119326203cff2100c67be0838458dcc83feb,139,6a7cbba531f79cfa3d60f5727fb23bd6434e45da207052b5b6d1b9ed97d78dab,PASS
v27-production-output-clearance-natural-seed@2,11,157192,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157192,production-output-batch:production-bill:1:00000001:e7008497af7656954ffc6a89592aab9444b3a4d74f37f595c92088e35ff1bd6c,1,1,1,1747569,1748,1,0,0,0,0,0,0,true,true,true,0ce90ecb71606a32accafdc22378250c3b0a54870bacf3a47d1995ab07c9a9b4,151,37db7532a82a4ec114527ce39449b3cf50264dfe292fcf2b63a7bb26adb23b6a,PASS
v27-production-output-clearance-natural-seed@2,12,157193,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157193,production-output-batch:production-bill:1:00000001:fef9220a5d20fcb4ba36e9adf409c46234e5423f32aca98082bcbd4a7d36b7fa,1,1,1,1734009,1735,1,0,0,0,0,0,0,true,true,true,3d88428d636fc1ca78486dc589ed9fd6d29f61f9948b4d8c59e5e921abb9c315,179,ca519bd915a158a9423aa23e3f14c7a50f613d3fa58a7f512faf3868917b10af,PASS
v27-production-output-clearance-natural-seed@2,13,157194,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157194,production-output-batch:production-bill:1:00000001:27df17a7349afbbbe0680614a2446b4d66de83a6e3fec2705a2ed098199b988e,1,1,1,1350128,1351,1,0,0,0,0,0,0,true,true,true,1582870529b7bc864f9e6d0926abc6aedfbc724f704614384626d8368289c967,148,631795287c77dc3393016230d260dbcd941e759eed99c004ecbc128cc22bbe56,PASS
v27-production-output-clearance-natural-seed@2,14,157195,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157195,production-output-batch:production-bill:1:00000001:7d7bc773c5b918075f95ba5fdfc533a42bdfac51ed860aa70dab2c41fd2e9019,1,1,1,1679603,1680,1,0,0,0,0,0,0,true,true,true,6a04767533d4eab6e218900940b601479bad1848d4806b7fd783223dc7b9951a,165,9ae6ab8c89b13024d48e6c369c4df1f784e11b4c9093b408c923adc3b97f51e2,PASS
v27-production-output-clearance-natural-seed@2,15,157196,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157196,production-output-batch:production-bill:1:00000001:8489021911d08eab231704da7f16c49d2d105919609d0e38cf5bc318c310cb8b,1,1,1,1580295,1581,1,0,0,0,0,0,0,true,true,true,807f26f7af83717eaa64ac5e1e3e065f00c8a6aff9887857f0952cbd83cf8d15,136,f9db36a501a98e34806a3fb7995c42556fd12abe3bee2ec238efbcce249425dc,PASS
v27-production-output-clearance-natural-seed@2,16,157197,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157197,production-output-batch:production-bill:1:00000001:97de2f926f9967468f95c786ef9a419a0258df0fcf57edcb44245673f1ee9d8a,1,1,1,1608196,1609,1,0,0,0,0,0,0,true,true,true,9de3557a94fa5b8f381fe895e45d5761ce7abd7ff7454d30cf2b69b8e02a4abe,134,f791c0e55a56d4879ae736e7f68f21b6e8edfae2ae18ebe782966662888b50dc,PASS
v27-production-output-clearance-natural-seed@2,17,157198,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157198,production-output-batch:production-bill:1:00000001:eb1717efece78ed3eb0123abf86bac4d40ad2a5de72b1276a4a2ce245be8b9ee,1,1,1,1565325,1566,1,0,0,0,0,0,0,true,true,true,69bad4d56d4e53f1d1bdb206657f5146b4f7963a2737098df63ecec4b2847939,174,692ca355e097e6e82920a04995dd9dc81b1ac018942d221966f71fd67ea5e055,PASS
v27-production-output-clearance-natural-seed@2,18,157199,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157199,production-output-batch:production-bill:1:00000001:1928900a933556d308ae806d5452a54f69e644744cb40d91aa506b4b9fc6d6e7,1,1,1,1386945,1387,1,0,0,0,0,0,0,true,true,true,9eb0220d75b940a8207485fd4bf56e61dee2230ca5d8d031f7db89b1045e100c,155,eac9cd16988862244bf73f26fda749b059c585e5d0bffd691c5dd1e5a3ddbfd5,PASS
v27-production-output-clearance-natural-seed@2,19,157200,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157200,production-output-batch:production-bill:1:00000001:60beea43cebc206b817988ea07c149923ef510b3efb151e4479021d2efcf833b,1,1,1,1689795,1690,1,0,0,0,0,0,0,true,true,true,5de9de14b82bdcffa33bcb2532ad9c3f1d49561bed9199ab1e1e04862f0e9ae6,145,05f64bdad0b2358d5004385b835e50561f89392027901ef256be41215c935e4d,PASS
