controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
phase game=50.65075; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(4, 0)
phase game=50.67208; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(4, 0)
phase game=52.35991; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(3, 0)
phase game=52.37821; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(3, 0)
phase game=53.19459; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(2, 0)
phase game=53.22078; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(2, 0)
phase game=55.39958; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(1, 0)
phase game=55.43034; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(1, 0)
phase game=57.24387; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(0, 0)
phase game=57.26673; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(0, 0)
phase game=60.00057; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(1, 0)
phase game=60.16399; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(1, 0)
phase game=60.4085; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(2, 0)
phase game=60.42855; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(2, 0)
phase game=61.27763; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(3, 0)
phase game=61.31546; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(3, 0)
phase game=62.70139; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(4, 0)
phase game=62.77839; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(4, 0)
phase game=63.73374; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(5, 0)
phase game=63.79494; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(5, 0)
phase game=64.44142; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(6, 0)
phase game=64.67065; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(6, 0)
phase game=66.14096; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(7, 0)
phase game=66.80762; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(7, 0)
phase game=67.1827; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(8, 0)
phase game=67.84937; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(8, 0)
phase game=68.2824; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(9, 0)
phase game=68.94907; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(9, 0)
phase game=69.41191; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(10, 0)
phase game=70.07858; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(10, 0)
phase game=70.74525; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(11, 0)
phase game=72.03204; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(12, 0)
phase game=72.69871; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(13, 0)
phase game=73.20689; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(13, 0)
phase game=73.87355; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(14, 0)
phase game=74.52183; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(14, 0)
phase game=75.18849; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(15, 0)
phase game=75.85516; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(15, 0)
phase game=76.52183; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(16, 0)
phase game=77.18849; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(16, 0)
phase game=77.85516; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(17, 0)
phase game=78.52183; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(17, 0)
phase game=79.18849; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(18, 0)
phase game=79.85516; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(18, 0)
phase game=80.52183; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(19, 0)
phase game=81.18849; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(19, 0)
phase game=81.85516; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(20, 0)
phase game=82.52183; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(20, 0)
phase game=83.85516; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(19, 0)
phase game=84.52183; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(19, 0)
phase game=87.18849; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(19, 1)
phase game=89.18849; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(21, 1)
phase game=89.85516; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(22, 1)
phase game=90.52183; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(22, 1)
phase game=91.18849; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(23, 1)
phase game=91.85516; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(23, 1)
phase game=92.3979; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(24, 1)
phase game=93.06456; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(24, 1)
phase game=93.73123; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(25, 1)
phase game=94.26101; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(25, 1)
phase game=94.92767; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(26, 1)
phase game=95.52008; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(26, 1)
